Company,Change,Open,High,Low,Volume,Market Cap
ADICET BIO INC.,0.8850,-0.56%,0.9000,0.9036,0.8700,"108,747"
ADITXT INC.,0.1072,-1.83%,0.1100,0.1120,0.1060,"11,036,690"
ADLAI NORTYE,2.12,+2.91%,2.08,2.14,2.08,"5,049"
ADMA BIOLOGICS INC,16.15,+0.31%,16.17,16.40,15.85,"2,452,656"
ADOBE INC.,437.45,-1.92%,446.98,447.01,435.83,"4,689,083"
ADS-TEC ENERGY PLC,16.18,+0.43%,16.15,16.35,15.46,"918,540"
ADTRAN HOLDINGS INC.,10.37,-2.63%,10.74,10.99,10.34,"1,246,073"
ADURO CLEAN TECHNOLOGIES INC.,6.08,+0.33%,6.12,6.12,5.91,"51,218"
ADVANCED ENERGY INDUSTRIES,115.08,+0.24%,115.06,117.82,114.61,"401,143"
ADVANCED FLOWER CAPITAL INC.,8.14,-0.37%,8.22,8.25,8.12,"83,393"
ADVANCED MICRO DEVICES INC.,115.95,-2.45%,119.14,119.57,115.33,"40,533,565"
ADVANTAGE SOLUTIONS INC.,2.64,-2.94%,2.71,2.73,2.59,"357,038"
ADVENT TECHNOLOGIES HLD.,5.49,+3.00%,5.69,5.77,5.29,"8,850"
ADVERUM BIOTECHNOLOGIES INC.,4.22,-4.31%,4.37,4.53,4.20,"149,858"
AEHR TEST SYSTEMS,11.33,-0.09%,11.36,11.90,11.21,"612,308"
AEMETIS INC,2.31,+0.43%,2.30,2.37,2.28,"504,565"
AERIES TECHNOLOGY INC.  ORD.,0.6037,+0.00%,0.6343,0.7499,0.5222,"256,589"
AEROVATE THERAPEUTICS INC.,2.62,+0.00%,2.62,2.70,2.56,"141,622"
AEROVIRONMENT INC.,180.15,+4.75%,174.00,182.60,171.53,"400,254"
AERSALE CORP.,6.77,-0.44%,6.77,6.86,6.66,"250,589"
AETHLON MEDICAL INC.,0.6999,-4.52%,0.7180,0.7199,0.6800,"812,560"
AEVA TECHNOLOGIES INC.,4.24,+4.69%,4.05,4.62,4.05,"569,101"
AEYE INC.,0.9235,-1.86%,0.9377,0.9800,0.8714,"1,419,490"
AFFIMED N.V.,1.01,+3.06%,1.00,1.06,0.98,"134,071"
AFFINITY BANCSHARES INC.,18.25,-1.03%,18.52,18.52,18.17,"22,500"
